set,collector_number,name,mana_cost,cmc,type_line,rarity,colors,score,gih_wr,iwd,oh_wr,gd_wr,ata,alsa,gih_games,my_eval,my_notes,oracle_text,scryfall_uri,image_url
dsk,23,Overlord of the Mistmoors,{5}{W}{W},7.0,Enchantment Creature — Avatar Horror,mythic,W,100.0,0.6824268050483695,0.15929663057809496,0.6801927860696517,0.6839925901710798,1.192495126705653,1.210252904989747,15609,,,"Impending 4—{2}{W}{W} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Whenever this permanent enters or attacks, create two 2/1 white Insect creature tokens with flying.",https://scryfall.com/card/dsk/23/overlord-of-the-mistmoors?utm_source=api,https://cards.scryfall.io/small/front/6/b/6bcafc2e-cef6-412d-8c5d-1658c3337292.jpg?1726285942
dsk,13,Ghostly Dancers,{3}{W}{W},5.0,Creature — Spirit,rare,W,98.5,0.6448658619462153,0.11918957215215187,0.624816086316822,0.658006107033803,1.4362003780718335,1.461635364177737,30901,,,"Flying When this creature enters, return an enchantment card from your graveyard to your hand or unlock a locked door of a Room you control. Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, create a 3/1 white Spirit creature token with flying.",https://scryfall.com/card/dsk/13/ghostly-dancers?utm_source=api,https://cards.scryfall.io/small/front/a/b/ab38adb5-8f16-4a4a-8dbc-f6ec14ca6c9f.jpg?1726285905
dsk,4,Dollmaker's Shop // Porcelain Gallery,{1}{W} // {4}{W}{W},8.0,Enchantment — Room // Enchantment — Room,mythic,W,97.0,0.6282450674974039,0.10007252946697964,0.6322664924885696,0.6252854224251893,1.380443714050945,1.4072948328267476,14445,,,"Whenever one or more non-Toy creatures you control attack a player, create a 1/1 white Toy artifact creature token. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Creatures you control have base power and toughness each equal to the number of creatures you control. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",https://scryfall.com/card/dsk/4/dollmakers-shop-porcelain-gallery?utm_source=api,https://cards.scryfall.io/small/front/c/5/c5ee6651-9946-4bae-b21e-6cf28fa77b13.jpg?1726867800
dsk,30,Sheltered by Ghosts,{1}{W},2.0,Enchantment — Aura,uncommon,W,94.3,0.6158926908752328,0.07882183990105696,0.598177211626434,0.6283793838980108,2.230409159791211,2.0544804272206165,68736,,,"Enchant creature you control When this Aura enters, exile target nonland permanent an opponent controls until this Aura leaves the battlefield. Enchanted creature gets +1/+0 and has lifelink and ward {2}.",https://scryfall.com/card/dsk/30/sheltered-by-ghosts?utm_source=api,https://cards.scryfall.io/small/front/3/8/389f3f7b-be40-4a2d-b5cc-28471a577981.jpg?1726285971
dsk,35,"Toby, Beastie Befriender",{2}{W},3.0,Legendary Creature — Human Wizard,rare,W,94.0,0.6158849103955322,0.07619761332774655,0.6265189716458626,0.6079412127948622,1.8650221275200787,1.8419772737321485,28291,,,"When Toby enters, create a 4/4 white Beast creature token with ""This token can't attack or block alone."" As long as you control four or more creature tokens, creature tokens you control have flying.",https://scryfall.com/card/dsk/35/toby-beastie-befriender?utm_source=api,https://cards.scryfall.io/small/front/f/3/f33d3948-fe7b-4c3b-ab67-1022623fbb2b.jpg?1726285986
dsk,37,Unidentified Hovership,{1}{W}{W},3.0,Artifact — Vehicle,rare,W,93.2,0.6108332407098662,0.07330013824500581,0.6036948219202416,0.6159420289855072,1.9142415867338645,1.8892469840163757,26991,,,"Flying When this Vehicle enters, exile up to one target creature with toughness 5 or less. When this Vehicle leaves the battlefield, the exiled card's owner manifests dread. Crew 1",https://scryfall.com/card/dsk/37/unidentified-hovership?utm_source=api,https://cards.scryfall.io/small/front/b/d/bd23f168-9ad0-4b4e-bfff-ae004c163727.jpg?1726285993
dsk,21,Optimistic Scavenger,{W},1.0,Creature — Human Scout,uncommon,W,92.5,0.6067873109279706,0.06035005486405165,0.6473755941894093,0.5762083646381168,2.780702034558753,2.555824936232543,70013,,,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, put a +1/+1 counter on target creature.",https://scryfall.com/card/dsk/21/optimistic-scavenger?utm_source=api,https://cards.scryfall.io/small/front/9/c/9c72fc6f-6a96-420d-812d-b5cf0f57cc7f.jpg?1726285934
dsk,6,Enduring Innocence,{1}{W}{W},3.0,Enchantment Creature — Sheep Glimmer,rare,W,88.3,0.5994169532067574,0.055618554466765224,0.6137858458300447,0.5887448707093076,1.5812156593406594,1.5937384898710865,26756,,,"Lifelink Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn. When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",https://scryfall.com/card/dsk/6/enduring-innocence?utm_source=api,https://cards.scryfall.io/small/front/0/8/08f79439-b8f8-418f-9772-26d81844749e.jpg?1726285879
dsk,33,Splitskin Doll,{1}{W},2.0,Artifact Creature — Toy,uncommon,W,85.3,0.5897672116270436,0.03280299960558419,0.5875148039643459,0.5915454836249108,3.5954006354799133,3.0584398268753463,72727,,,"When this creature enters, draw a card. Then discard a card unless you control another creature with power 2 or less.",https://scryfall.com/card/dsk/33/splitskin-doll?utm_source=api,https://cards.scryfall.io/small/front/0/4/0453be94-e59b-48f1-a488-7a9fd96a627e.jpg?1726285979
dsk,41,The Wandering Rescuer,{3}{W}{W},5.0,Legendary Creature — Human Samurai Noble,mythic,W,84.9,0.5887698799091204,0.06159354062340616,0.5871815286624203,0.5898630136986301,1.389633601429848,1.4127540294323757,12324,,,Flash Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Double strike Other tapped creatures you control have hexproof.,https://scryfall.com/card/dsk/41/the-wandering-rescuer?utm_source=api,https://cards.scryfall.io/small/front/e/1/e1ccca86-df8b-4fd9-8fdf-0a5a7b14cdee.jpg?1726286008
