set,collector_number,name,mana_cost,cmc,type_line,rarity,colors,score,expert_grade,gih_wr,iwd,oh_wr,gd_wr,ata,alsa,gih_games,my_eval,my_notes,oracle_text,scryfall_uri,image_url
msh,4,Agent Phil Coulson,{1}{W},2.0,Legendary Creature — Human Spy Hero,rare,W,5.0,B,0.6618075801749271,0.11370422668399804,0.7005494505494505,0.6350890488821523,1.671420083184789,1.6826843413421706,4459,,,Vigilance {T}: Put a +1/+1 counter on each other Hero you control.,https://scryfall.com/card/msh/4/agent-phil-coulson?utm_source=api,https://cards.scryfall.io/small/front/1/3/1383e587-df58-4b45-9067-b9399e90b9ed.jpg?1780453064
msh,6,Avengers Assemble!,{4}{W},5.0,Enchantment,mythic,W,5.0,B+,0.6568825910931174,0.0952490204674149,0.6706349206349206,0.648360655737705,1.5427841634738186,1.582427536231884,1976,,,"Flash Heroes you control get +2/+2. At the beginning of each end step, if you attacked with a Hero this turn or a Hero entered the battlefield under your control this turn, draw a card.",https://scryfall.com/card/msh/6/avengers-assemble!?utm_source=api,https://cards.scryfall.io/small/front/b/f/bf736399-af74-4f52-9159-67ea67d0cf83.jpg?1780413354
msh,10,"Captain America, Wings of Freedom",{2}{W},3.0,Legendary Creature — Human Soldier Hero,rare,W,5.0,B,0.6293498168498168,0.04747411904557419,0.6484641638225256,0.6164750957854406,1.618874773139746,1.623646960865945,4368,,,"Flying, first strike, ward {1} Whenever Captain America attacks, each other Hero you control gets +X/+X until end of turn, where X is Captain America's toughness.",https://scryfall.com/card/msh/10/captain-america-wings-of-freedom?utm_source=api,https://cards.scryfall.io/small/front/c/8/c87ca9ce-5034-4137-99cc-c2b28f298912.jpg?1780658296
msh,11,"Captain Marvel, Earth's Protector",{3}{W}{W},5.0,Legendary Creature — Human Kree Hero,mythic,W,5.0,A+,0.7073170731707317,0.14806179211093928,0.6821515892420538,0.7212449255751014,1.3094660194174756,1.3241869918699187,2296,,,"Flash Flying, lifelink Power-up — {5}{W}{W}: Put a +1/+1 counter and an indestructible counter on Captain Marvel. (Activate each power-up ability only once. Reduce the cost by her mana cost if she entered this turn.)",https://scryfall.com/card/msh/11/captain-marvel-earths-protector?utm_source=api,https://cards.scryfall.io/small/front/e/b/eb098550-22e6-4079-8c59-ed9ec2f764e3.jpg?1780413361
msh,16,Hero in Training,{2}{W},3.0,Creature — Human Hero,common,W,5.0,B-,0.6262070238022018,0.03391900294275241,0.6126678568656369,0.6350903997962821,4.867265954000648,4.088954156557272,32518,,,"When this creature enters, draw a card. If you control another Hero, you gain 2 life.",https://scryfall.com/card/msh/16/hero-in-training?utm_source=api,https://cards.scryfall.io/small/front/1/0/105a937b-289c-47b5-96a4-654c697bbb7d.jpg?1780919524
msh,1,"Agent 13, Sharon Carter",{2}{W},3.0,Legendary Creature — Human Spy Hero,uncommon,W,4.5,C+,0.6064295725297828,0.03050493889405359,0.6065325546182133,0.6063594877079347,3.8023783783783784,3.3871811123435274,11416,,,"Whenever a creature you control attacks alone, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",https://scryfall.com/card/msh/1/agent-13-sharon-carter?utm_source=api,https://cards.scryfall.io/small/front/1/0/107cb521-9806-47dc-92d8-b43112b63caa.jpg?1781269374
msh,2,Agent Maria Hill,{W},1.0,Legendary Creature — Human Spy Hero,uncommon,W,4.5,B-,0.6115357179252012,0.02849712035484908,0.6380810340541884,0.5930915371329879,4.344581005586592,3.7713748170859174,9813,,,"Whenever Agent Maria Hill becomes tapped to pay a teamwork cost, put a +1/+1 counter on her and draw a card.",https://scryfall.com/card/msh/2/agent-maria-hill?utm_source=api,https://cards.scryfall.io/small/front/9/e/9e327c67-1cf1-4d82-903c-b41c8e7cf747.jpg?1780572341
msh,9,"Captain America, Super-Soldier",{1}{W}{W},3.0,Legendary Creature — Human Soldier Hero,mythic,W,4.5,B,0.6139438085327783,0.06145307160400104,0.5968790637191157,0.6253252385082394,1.5469168900804289,1.549686660698299,1922,,,"First strike Captain America enters with a shield counter on him. (If he would be dealt damage or destroyed, remove a shield counter from him instead.) As long as Captain America has a shield counter on him, you and other Heroes you control have hexproof.",https://scryfall.com/card/msh/9/captain-america-super-soldier?utm_source=api,https://cards.scryfall.io/small/front/3/3/33631d6c-c584-42ff-afe5-2647b5fb321f.jpg?1778243648
msh,24,Murdock's Crusade,{1}{W},2.0,Sorcery,common,W,4.5,D,0.6134345525649874,0.039462439586796405,0.5878450420566284,0.6296825635625094,6.036275320380322,4.668206103413928,21735,,,"Teamwork 4 (As an additional cost to cast this spell, you may tap any number of creatures you control with total power 4 or more.) Choose one. If this spell was cast using teamwork, choose both instead. • Street Justice — Exile target creature with toughness 4 or greater. • Legal Justice — Exile target enchantment with mana value 4 or greater.",https://scryfall.com/card/msh/24/murdocks-crusade?utm_source=api,https://cards.scryfall.io/small/front/9/8/98df64ca-39c3-47e6-8143-4106c8e9cf59.jpg?1780413443
msh,31,Political Triumph,{W},1.0,Enchantment — Plan,uncommon,W,4.5,D-,0.6169665809768637,0.03873320684385684,0.6669934640522875,0.5816208727776495,4.924607623318385,4.098009590750838,7391,,,"Whenever a creature you control enters, scry 1 and put a plan counter on this enchantment. When the fourth plan counter is put on this enchantment, sacrifice it, draw a card, and put a +1/+1 counter on each creature you control.",https://scryfall.com/card/msh/31/political-triumph?utm_source=api,https://cards.scryfall.io/small/front/d/e/dec3dd36-b8ca-432b-8973-d37c6efc4c1a.jpg?1780516514
